pontosfrageis,pontosfortes,,
"1- Ausência de relações de cooperação entre família e escola;

2- Pouca interação da equipe escolar;

3- Ausência de conhecimento e controle da escola sobre a presença de drogas;

4- Frustração e pressão diante das experiências de aprendizagem;

5- Proximidade da rede de distribuição de drogas com a escola.","1- Pertencimento e Valorização do aluno pela escola;

2- Estímulo e exercício dos princípios de altruísmo e cooperação;

3- Estímulo à prática das atividades escolares;

4- Verbalização de expectativas positivas com relação ao desempenho dos alunos;

5- Definição, comunicação e negociação de normas, regras e limites.",3,PUD002-2014.1-A
"Fatores de risco
Presença do uso ou abuso de drogas lícitas e ilícitas no ambiente familiar.
Relações conflituosas na família.
Ausência de referência de autoridade e limites definidos e respeitados.
Baixas expectativas e baixo investimento familiar em relação 
ao futuro e projeto de vida do adolescente.
Desmotivação e desengajamento em relação às atividades escolares.
Incoerência na exigência de cumprimento das regras na escola
Relações com os colegas usuários de drogas dentro da escola.
Ausência de conhecimento e controle da escola sobre a presença de drogas
Grupos cujos ambientes de lazer envolvem uso de drogas.
O adolescente se sentir pertencente a grupos de amigos.","Fatores de proteção
comunicação e negociação de normas, regras e limites;

relações amistosas e de cooperação entre a maior parte das famílias e a escola; 

 promoção de atividades sociais, esportivas e culturais significativas à comunidade;

 Bom relacionamento  entre professores e alunos; 

 verbalização de expectativas positivas com relação ao desenvolvimento e desempenho dos alunos; 

 estímulo à prática das atividades escolares; 

A escola como ambiente seguro e protetor
Grupo com ambientes de lazer saudáveis, sem uso de drogas.
Grupo que não precisa recorrer à violência para solucionar 
problemas",3,PUD002-2014.1-A
"- Atividades Extras Curriculares
- Espaço
- Falta de Esportes
- Disciplina
- Participação da família dos alunos que realmente precisam.","- Alguns Professores realmente envolvidos com alunos.
- Apoio da Direção em Projetos.
- Apoio de Funcionários em atividades.
- Material disponível quando possível.
- Alunos carinhosos.",3,PUD002-2014.1-A
"Não ter respaldo da direção, polícia,    e de outros meios para fazer intervenções sobre o assunto.
Ao solicitar a parceria com a conselheira tutelar para casos extremos de alunos usando drogas na escola, sendo menores de treze anos, não temos apoio para nada.
Quando alunos são expulsos por algo relacionado a drogas e fatores de risco para a escola, o juiz determina a permanência deste na instituição.
Os alunos são filhos de traficantes, consideram a vida no crime um honra.
Não ter conhecimento sobre as medidas a ser usadas para a prevenção do uso de drogas não comunidade escolas.","Necessidade de encontrar uma solução para esse problema.
Vontade de mudar e ajudar ao próximo.
Tornar referência instituciona.",3,PUD002-2014.1-A
"Proximidade da rede de distribuição de drogas com a escola.
Relações com os colegas usuários de drogas dentro da escola.
Ausência de relações de cooperação entre família e a escola.","Pertencimento e valorização do aluno pela escola.
Presença de regras claras  referências de autoridades na escola
A escola como ambiente seguro.",3,PUD002-2014.1-A
"1- Vivência de exclusão nas relações escolares.

2-Incoerência na exigência de cumprimento das regras na escola.

3-Ausência de relações de cooperação entre a família e a escola.

4-Ponto estratégico para distribuição de drogas.

5-Relacionamento com colegas usuários dentro da mesma sala ou escola.","1-Relação de respeito entre aluno e educador.

2-Estímulo e motivação para as atividades escolares.

3-Realização de programas  de prevenção do envolvimento com drogas pela escola (ECC).

4-Pertencimento e valorização do aluno pela escola.

5-Presença de regras claras e referências de autoridade na escola.",3,PUD002-2014.1-A
"- Realização de trabalhos em condições adversas.
- Relação de conflitos nos bairros.
-Presença de uso de drogas lícitas em ambiente escolar.
- Alunos pertencentes a grupos de hábitos não saudáveis.
- Comunidade com forte apelo de consumo.","- Relação de respeito entre educador e educando.
- Experiencias positivas de aprendizagem.
- Valorização do aluno pela escola.
- A escola como ambiente seguro e protetor.
- Presença de referencia de autoridade familiar.",3,PUD002-2014.1-A
"1- Ser uma escola localizada na zona rural, a comunidade fica a mercês de uma convivência muita reduzida.
2- O fator desemprego é alto devido o difícil acesso as regiões mais desenvolvidas.
3- a baixa escolaridades dos pais dos alunos.
4- o consumo de drogas ilícita e licitas é alto.
5- Alto índice de gravidez precoce","1- Excelente relação com a comunidade
2- Uma gestão forte e preocupada com a relação: Pais x Escola x alunos
3- A escola com uma forte visão de rede social
4- Parceria UBS e Escola
5- Professores envolvidos e participativos com a escola.",3,PUD002-2014.1-A
"comprometimento de alguns funcionários, diálogo com os alunos, violência entre os alunos, descomprometimento da família, aprendizagem","A atuação da gestão escolar, a atuação positiva de alguns professores, a dedicação, o companheirismo, a superação das dificuldades pedagógicas",3,PUD002-2014.1-A
"Observo que os pontos fracos são:
-Falta de envolvimento de todos da comunidade escolar;
- Falta de orientação sobre como prevenir o uso das drogas;
- Desinteresse com o outro;
- Não há palestras ou  orientações mais direcionadas (com profissionais) sobre o assunto.","Destaco os pontos fortes:
- Profissionais capacitados
- Espaço físico e suporte técnico (audiovisuais, para realização de palestras, seminários)
- Autonomia para as iniciativas
- Apoio e suporte financeiro para realização de projetos",3,PUD002-2014.1-A
"*A indisciplina dos alunos;
*Sala superlotada;
*Falta de projetos;
*Prédio muito grande;
*Poucos coordenadores de turma.","Assiduidade dos professores;
Participação dos alunos nos eventos.",3,PUD002-2014.1-A
"- Trabalhar com a diversidade sem exclusão
- Trabalho de qualidade com alunos com necessidades educacionais especiais","- Atualização profissional constante da equipe gestora, pedagógica e docente
- Currículo flexível
- Projeto pedagógico atualizado conforme necessidades detectadas",3,PUD002-2014.1-A
"-Pouca participação familiar;
-Sobrecarga de atividades para os profissionais da escola;
-Falta da quadra de esportes;
-Suspensão pelo poder público de projeto importante para a escola.","-Relações de respeito entre agentes educativos;
-Estímulo à prática das atividades escolares;
-Possibilidade de estabelecimento de algumas parcerioas;
-Promoção de práticas escolares participativas.",3,PUD002-2014.1-A
"- Distância Geográfica do Colégio e Professores 
Três dos cinco professores que possuímos no colégio moram distante do mesmo, sendo muitas vezes difícil reunir todos para a execução de alguma atividade. Sendo estes momentos muito esporádicos, ocorrendo principalmente nos conselhos de classe.

- Falta de Coordenador ou Orientador Pedagógico
Nosso colégio não possui um coordenador ou orientador pedagógico, que poderia contribuir para o desenvolvimento das atividades em nossa unidade escolar.

- Distância entre a comunidade do entorno e a comunidade escolar
A comunidade do entorno não dialoga com o colégio. Para estreitar estes laços está sendo realizada anualmente uma semana de extensão onde são oferecidos cursos na área de agropecuária voltados à comunidade.

- Distância entre o colégio e as famílias
Este fator se deve ao fato de que a clientela do colégio é essencialmente de adultos, de 70 alunos possuímos apenas 10% de adolescentes.","- Proximidade dentro da comunidade escolar
A relação entre alunos, professores, direção e funcionários é muito próxima, costumamos dizer que o colégio acaba se tornando uma grande família, onde o diálogo e a ajuda mútua são os principais contribuintes para uma educação profissionalizante e técnica, mais bastante humanizada.",3,PUD002-2014.1-A
,,3,PUD002-2014.1-A
"* Falta de planejamento e estratégia de enfrentamento.

*Receio de envolvimento, retalhação por parte do trafico.

*Educadores despreparados

*Fragmentação da rede assistencial

*Falta de segurança pelo poder publico","*Faixa etária ideal para acrescentar conhecimento sobre o assunto.

*Lugar de conquista da amizade do adolescente

*Distância entre conhecimento da ciencia e a realidade a partir da dimen-
são politica,economica e cultural.

*Relações educativas e sociais.

*Transmitir o saber e promoção dea saude(desenvolvimeto integral).",3,PUD002-2014.1-A
"Falta de materiais para aulas mais criativas
Falta de interesse da maioria dos alunos 
Pouca participação da família","Apoio da esquipe pedagógica 
Apoio da direção
Companheirismo entre os colegas de trabalho
Empenho de todos os profissionais nas atividades empenhadas",3,PUD002-2014.1-A
"Infraestrutura não apropriada ao atendimento de criança/adolescente que possa estar usando substancia ilicita.
Aproximação da comunidade junto a instituição escolar
Falta de contato e instituição de parceria que propiciem o desenvolvimento social junto aos alunos","Qualidade de ensino administratado
O esforço realizado pelos profissionais objetivando a mudança da realidade social da comunidade
O esforço em buscar parcerias objetivando melhorar a qualidade e a complementação do ensino e da atividade pedagógica",3,PUD002-2014.1-A
"_ Falta de segurança na escola, portão e muros.
_Estrutura familiar enfraquecida devido ao uso de drogas e outros vícios 
_Falta de lugar para lazer no bairro
_ Falta de um Posto Policial, próximo à nossa escola
_ Falta de um maior relacionamento com a UBS","_ comprometimento dos professores da escola  com os alunos
_ Apoio da PM com o Projeto JCC
_ Vínculos de afetividade e confiança entre alguns professores e alunos no ambiente escolar.
_ A inserção do projeto de prevenção no Projeto Político Pedagógico (PPP)
_ Parceria com a comunidade escolar,
Secretaria de Educação, no Departamento de Atenção ao Estudante (DAE), com o  Conselho Tutelar e CRAS",3,PUD002-2014.1-A
"-  Evasão
- Distorção idadexsérie
- Gravidez na adolescência
- Drogas
- Trabalho infantil","- Eficácia nas avaliações externas:SAERJ, Prova Brasil, OBMEP
- Participação da comunidade
- Boa disciplina
- Costumes tradicionais da região (saber cultural de pai para filhos)
- Religião",3,PUD002-2014.1-A
"1 – Alojamento sem devida vistoria/estrutura.
2 – Poucos servidores/seguranças para apoio no período noturno no alojamento.
3 – Ausência de um projeto de acompanhamento permanente dos alunos do alojamento.
4 - Curiosidade natural dos adolescentes, influenciada por amigos ou grupos nos quais estão inseridos. 
5 – Dimensões do terreno onde se localiza a instituição, dificultando o controle de acesso a locais mais isolados.","1 – Boa integração entre os setores NAP/ CGAE e Orientação Educacional para possíveis intervenções.
2 – Boa convivência entre professores e alunos.
3 – Participação efetiva das direções geral e de ensino.
4 –  Possibilidades de atividades de ensino, pesquisa, extensão e lazer.
5 – Efetiva participação do Grêmio Estudantil.",3,PUD002-2014.1-A
"1º LOCALIZAÇÃO DA INSTITUIÇÃO ESCOLAR. Resposta: A EMEI PAMPULHA fica em um bairro periférico onde existe um tráfico e uso muito grande de drogas e entorpecentes.
2º CLIENTELA DA ESCOLA. Resposta. Infelizmente na escola existe pais de alunos que fazem uso da droga ( MACONHA, COCAÍNA, ALCOOL).","1º CONSCIENTIZAÇÃO DA EQUIPE DE TRABALHO. Resposta. Os profissionais envolvidos nesta Unidade de Ensino são muitos competentes e comprometidos.
2º PPP - Resposta. O projeto Pedagógico busca atender o desenvolvimento pleno da criança no contexto da Educação Infantil.",3,PUD002-2014.1-A
"1) Receber alunos de diferentes comunidades;
2) Receber alunos de diferentes faixas etárias na mesma turma;
3) Falta de práticas criativas;
4) Falta de um profissional de psicologia na escola
5) falta de unidade dentro da equipe de professores.","1) relações amistosas e de cooperação entre família e escola;
2) verbalização de expectativas positivas com relação ao desenvolvimento e desempenho dos alunos;
3) definição, comunicação e negociação de normas, regras e limites;
4) promoção de atividades sociais, esportivas e culturais significativas à comunidade;
5) presença de afetividade e confiança no ambiente escolar.",3,PUD002-2014.1-A
"Poucas ações voltadas a Prevenção de Drogas.
A cultura do uso de álcool na adolescência.

Daniela dos Santos Landazuri","Parceria da escola com a Família.
Parceria da escola com a Comunidade Escolar.
Parceria da escola com entidades como Polícia, Conselho Tutelar, Promotoria.


Daniela dos Santos Landazuri",3,PUD002-2014.1-A
"1. Relações conflituosas da família;
2. ausência de referência de autoridade;
3. baixas expectativas e baixo investimento familiar;
4. ausencia de cooperação da família;
5. grupos cujos ambientes de lazer envolvam uso de drogas.","1. presença de diálogo na escola;
2. sentimento do adolescente de pertencimento e integração ao sistema da escola;
3. presença de regras claras na escola;
4. respeito entre educador e alunos;
5. acesso a espaço de lazer, convívio e circulação com direitos e deveres bem claros aos alunos.",3,PUD002-2014.1-A
"Pontos fracos:
1- Localizada em região com alto índice de criminalidade. 
2- Localizada em região que existe o tráfico de drogas;
3- Pessoas suspeitas entorno da escola;
4- Pouca iluminação no entorno da escola.
5- Pais (de alunos) que são usuários.","Pontos fortes:
1- Bom relacionamento com vizinhos e instituições.
2- Durante o turno letivo, os transeuntes não acessam os  alunos.
3- Controle no acesso à escola.
4- Equipe gestora zelosa.
5- Professores responsáveis e atentos.",3,PUD002-2014.1-A
"- Proximidade da rede de distribuição de drogas com a escola.
- Relações com os colegas usuários de drogas dentro da escola.
- Presença do uso ou abuso de drogas lícitas e ilícitas no ambiente familiar.
- Relações conflituosas na família.","- Presença de regras claras e referências de autoridade na escola.
- Realização de programas de prevenção do envolvimento com drogas pela escola.
- Relações de respeito entre educador e aluno.
- Experiência positiva de aprendizagem.
-A escola como ambiente seguro e protetor.",3,PUD002-2014.1-A
"a falta de um plano de ação pra prevenção do uso de drogas.

profissionais capacitados para atuar em certas situações problemas.

falta de palestras e ações que poderiam ajudar nossos alunos.","a escola fica em um local distante da cidade, numa localização privada de uma fábrica.

é de difícil acesso o que ajuda a não entrar no espaço escolar qualquer pessoa.


seguranças da fábrica.

a escola é segura.


os alunos quase não conseguem gazear as aulas.",3,PUD002-2014.1-A
"Infraestrutura deficiente. Falta de professores capacitados de liderar projetos são pontos frágeis.
Características: Professores com dupla a tripla jornada de trabalho. Do total de professores 95% são mulheres, inclusive a diretora e 5% homens.
Inexistência de auditório e a quadra localiza-se ao lado da Superintendência da cidade, apesar de ser no bairro gasta-se de 10 a 15 min para chegar-se na escola. a escola recebe alunos de várias localidade por situar próxima ao centro da cidade. alunos desinteressados e indisciplinados","Professores bem capacitados e presença constante da maioria dos pais. desenvolvimento de encontros com a família. Acompanhamento, conversas e chamamento dos pais com alunos problemáticos. Reuniões mensais bem direcionadas aos problemas reais da escola e proposição de medidas práticas para a amenização e resolução das mesmas",3,PUD002-2014.1-A
"1- Famílias muito desestruturadas;
2- Maioria dos alunos moram com avós;
3- Muita agressividade física e verbal;
4- Pouca participação da família quando o assunto é social;
5- Auto estima baixa","1- Professores que procuram se capacitar;
2- apoio da coordenação escolar;
3- Bons projetos;
4- Eventos envolvendo toda a comunidade;
5- Os professores conhecem a clientela",3,PUD002-2014.1-A
"Alunos carentes
Famílias sem estruturas
Alunos desmotivados e sem perspectivas do futuro","Professores capacitados
Diretor comprometido com o desempenho dos alunos
Tempo integral
Escola aberta para comunidade",3,PUD002-2014.1-A
"- Crianças sem apoio familiar.
- Violência.
_ Carência social e afetiva.
- Famílias desestruturadas.
- Comércio de drogas na comunidade.","- Projetos para adolescentes.
- Patrulha escolar.
- Entrosamento entre professores, funcionários e alunos.
- Conselho tutelar.
- Preocupação constante da escola com a vida escolar e social do aluno.",3,PUD002-2014.1-A
"- Crianças sem apoio familiar.
- Violência.
- Carência social e afetiva.
_ Famílias desestruturadas.
- Comércio de drogas na comunidade.","- Projetos para adolescentes.
- Patrulha escolar.
- Entrosamento entre professores, funcionários e alunos.
- Conselho tutelar.
- Preocupação constante da escola com a vida escolar e social do aluno.",3,PUD002-2014.1-A
"- Relação difícil entre algumas famílias e a escola.
- Estímulo, por parte dos pais, à prática das atividades escolares.
- Negociação de regras, normas e limites.
-Promoção de práticas educativas inovadoras e estimulantes.
- Coerência entre os diversos segmentos da escola na aplicação de normas e  regras,","-Fatores afetivos entre professores e alunos.
- Respeito mútuo, cooperação entre a maioria dos educadores.
-Presença de diálogo entre os professores e alunos.
- Comprometimento dos professores na realização das atividades.
- Cooperação e comprometimento de algumas famílias e do colegiado escolar.",3,PUD002-2014.1-A
"trabalho na Educaçao Infantil. de 0à 5.anos

Não tem adolescentes.","Esta aberta para o diálogo com pais.

Espaço acolhedor.

ambiente limpo e agradavél.",3,PUD002-2014.1-A
"* A falta de esclarecimento das famílias dos educandos.

* O desinteresse das famílias para com as questões escolares.","* A união dos profissionais.

Os eventos de interação promovidos pela instituição.",3,PUD002-2014.1-A
Professores e diretores  moram em outra comunidade e não na comunidade escolar. Alunos e Pais de alunos são pessoas carentes e pouco instruidas. O acesso á cidade não é diário. A maioria das familias dependem totalmente da zona rural. A falta de oportunidades de Emprego leva a maioria dos jovens para as grandes cidades ou para as colheitas de cana e café na zona sul do estado.,Os alunos são muito interessados  e adoram quando tem alguma atividade que envolva mais conhecimento for a do âmbito escolar. Todos são muito Honestos e comprometidos com as atividades.,3,PUD002-2014.1-A
"uma gestão com pouco apoio, desmotivação por parte dos professores, alunos indisciplinados, com poucas medidas disciplinar que tenham algum efeito significativo, poucos recursos tecnológicos em bons estado para uso.  salas de aulas lotadas o que dificulta o trabalho.","Um espaço físico bom, localidade de fácil acesso, mutos colegas de trabalhos capacitados alegres.",3,PUD002-2014.1-A
"1. Presença de pontos de drogas no entorno
2. Presença de bares no entorno
3. Falta de comprometimento de alguns pais
4. Resistência a adaptação de alguns alunos
5. Falta de interesse de alguns alunos","1. Diálogo entre a escola e aluno
2. Oficinas e projetos
3. Interação entre a escola e comunidade
4. Infra-estrutura
5. Abertura da escola a projetos externos",3,PUD002-2014.1-A
"Alcoolismo no ambiente familiar.
Brigas entre bairros.
Consumismo excessivo dos jovens em ter  e não ser.
 Usuários de maconha na adolescência.","Valorização da escola .
Credibilidade da comunidade na escola.
Disciplina escolar ( dentro dos limites da escola,)
Respeito entre educador e educando .
Esportes sempre  em contato com os jovens,",3,PUD002-2014.1-A
"* ESCOLA QUE PRECISA MELHORAR SUA INFRAESTRUTURA;
* ESCOLA QUE NECESSITA DE UMA REDE DE COMPUTADORES COM INTERNET;
* ESCOLA ESCOLA QUE NECESSITA DE UMA AÇÃO PARA PROMOVER A INTEGRAÇÃO DA FAMÍLIA NA ESCOLA;
* ESCOLA QUE NECESSITA DE UM PROGRAMA, OU OUTRO EVENTOS PARA RETRATAR, CONSCIENTIZAR E REFLETIR SOBRE OS PROBLEMAS CAUSADOS PELO USO DAS DROGAS;
* RELAÇÃO/FAMÍLIA/ COMUNIDADE.","* ESCOLA TRANQUILA E ACOLHEDORA;
* ESCOLA COM ALUNADO ORIUNDOS DA ZONA RURAL QUE AINDA APRESENTAM MUITO RESPEITO PELOS PROFESSORES;
* FORTE VÍNCULO AFETIVOS ENTRE PROFESSORES E ALUNOS;
* APOIO E ESTIMULO Á PRÁTICA DAS ATIVIDADES ESCOLARES POR PARTE DA GESTORA E SME.
  PROMOÇÃO DE ATIVIDADES SOCIAIS, ESPORTIVAS E CULTURAIS SIGNIFICATIVAS Á COMUNIDADE.",3,PUD002-2014.1-A
"UJFJ
Maria Lucia de Sousa Resende


-Relação amistosa e de cooperação entre família e escola;
-Articulação da esccola com parcerias e equipamentos sociais que fortaleçam sua ação educativa;
-Presençade afetividade e confiança no ambiente escolar;
 Definiçao, comunicação e negociação de normas, regras e limites;
-Relações conflituosas na familia.","UFJF
Maria Lucia de Sousa Resende

-Presença de diálogo como estrtégias para lidar com conflitos;
-Presença de referência de autoridades e limites definidos e respeitados;
-Pertencimento e valorização do aluno pela escola;
- Relações de respeito entre professor e aluno;
Estímulos poeitivos de aprendizagem.",3,PUD002-2014.1-A
,,3,PUD002-2014.1-A
"1º- Falta de um atendimento psicológico aos alunos que apresentam comportamentos diferentes.
2º - Envolvimento de todos professores com atividades relacionadas ao consumo de drogas.
3º - Ter mais atenção do poder publico junto a escola para atender os alunos com envolvimento de drogas.
4º -  As famílias não participam muito da vida escolar dos filhos.
5º - Com muitos trabalhos extras, não permite ao professor estar observando mais os alunos com comportamentos diferentes.","1º - Acompanhamento das pedgogas aos professores em atendimento aos alunos com dificuldades.
2º - Reuniões com os pais de alunos que demostram dificuldades de prendizagem ou envolvimento com drogas.
 3º - Jornada ampliada para alunos de todos os turnos da escola com atividades atrativas, empresariais e esportivas.
4º - Radio escola com participação de professores a alunos.
5º - Professores estão sempre trocando suas experiencias, procurando conhecer melhor o comportamento dos alunos.",3,PUD002-2014.1-A
"* Coleguismo e espaço ocioso - permite isolamento de grupos

* Alunos de outros municípios - a escola é localizada em bairro de classe média e a demanda de vagas permite matricula de alunos fora do zoneamento","* Reuniões pedagógicas x família
* Ministrado curso de prevenção de drogas para as turma de 4º ao 5º anos do Ensino fundamental I.
* Monitoramento por câmeras de segurança",3,PUD002-2014.1-A
"Baixo desempenho escolar;
Baixas expectativas em relação aos alunos;
exclusão social; de vínculos das pessoas ou com a aprendizagem.
Falta","Bom desempenho escolar;
Ligações fortes com a escola;
Oportunidades de participação e decisão;
Vínculos afetivos com professores e colegas.",3,PUD002-2014.1-A
"- Alta rotatividade por parte de alguns alunos, principalmente no noturno.
- Desinteresse por parte de alguns alunos e familiares.
- Burocratização do sistema escolar.","- Compromisso do corpo docente.
- Formação para o mundo do trabalho.
- Experiências inovadoras e extracurriculares.",3,PUD002-2014.1-A
"- Famílias desestruturadas(não participam da vida escolar dos filhos).
- Faltam atividades esportivas, que estimulem os alunos.
- Acompanhamento psicológico, para os alunos que necessitam.","- Participação efetiva dos membros da escola, na solução de problemas individuais dos alunos.
- Interferência na vida familiar diante de situações problemas.
- Apoio do Conselho Tutelar.
- PROERD -Programa Educacional de Resistência às Drogas.
- Palestras com profissionais.
-Abordagem do Assunto &quot;Drogas&quot;( sempre que possível) em sala de aula.",3,PUD002-2014.1-A
"Fatores de risco: pontos frágeis da minha escola:

1-Bares próximos a escola;
2-Escola bem no centro da cidade;
3-Falta de apoio da sociedade civil organizada.","Fatores de proteção: pontos fortes da minha escola:

1-Trabalho de prevenção;
2-Palestras com freqüência;
3- Maioria dos alunos é adultos trabalhadores e, dona de casa;",3,PUD002-2014.1-A
"1. Desmotivação e desengajamento em relação às atividades escolares.
2. Ausência de conhecimento e controle da escola sobre a presença de drogas.
3. Proximidade da rede de distribuição de drogas com a escola.
4. Relações com os colegas usuários de drogas dentro da escola.
5. Ausência de relação de cooperação entre a família e a escola.","1. Relação de respeito entre o educador e o aluno.
2. Realização de programas de prevenção do envolvimento com drogas pela escola.
3. O adolescente se sentir pertencente a grupos de amigos.
4. O adolescente pertencer a grupos com predominância de hábitos saudáveis.
5. Mobilização e conscientização para conhecimento sobre a realidade de consumo na escola.",3,PUD002-2014.1-A
"* A escola está vulnerável ,pois está em um ambiente social de poder aquisitivo  com potencial bem baixo.

* A falta de emprego,gerando nas famílias uma insegurança e muitas vezes fazendo com que alunos se ausentem da escola.

* Famílias numerosas,que sobrevivem com ajuda de custo do governo

* A escola em si,não tem perto Um posto policial e nem da guarda municipal


* Em alguns lugares, em se tratando de estrutura física,o muro está quebrado.","Como pontos ou característica positiva da instituição temos:


* A presença de projetos sociais que visam tirar as crianças das ruas.


* A parceria de escola,pais , comunidade , policia militar e patrulha escolar.

* O convívio e o bom relacionamento de todos inclusive o que se refere a alunos e funcionários.

* A participação da comunidade na escola nos projetos onde são convocados a participar e também nos demais.

* O trabalho do PROERD da polícia militar dentro da escola buscando evitar e prevenir as drogas dentro da escola.",3,PUD002-2014.1-A
".relação amistosas entre família e escola.
.desmotivação e desengajamento em relação às atividades escolares.
.insensibilidade e distanciamento na relação professor-aluno.",".relação de cooperação entre família e escola.
. Estímulo e motivação para as atividades escolares.
.relação de respeito entre educador e aluno.",3,PUD002-2014.1-A
"Pontos de bares muito próximos as escolas e com grande índice de venda de drogas, para menores.

Comunidade pouco participativa,na vida escolar.

 Entrada facilitada de drogas por outros colegas, na saída da escola.

Falta de apoio dos órgãos públicos, policiamento e comunidade.

Sozinha a escola não da conta, deve haver mais pessoas preocupadas e interessadas, pois é melhor prevenir que remediar.","São considerados importantes, mas não fator principal e excludente.

Temos uma delegacia ao lado da escola, mas a mesma não tem sido fator excludente de medo dos alunos.

Familia tem participado consideravelmente.

Escola promove ações, palestras teatros, caminhadas orientada sobre uso de drogas.",3,PUD002-2014.1-A
"- Desigualdade Social.
- Ausência da família na vida dos alunos.
- Baixa visão de futuro.
- Escassez de valores morais e éticos.
- Falta de uma equipe conhecedora para fazer a Intervenção Universal.","- Busca pela família e comunidade para dentro da escola.
 - Visitas aos domicílios dos alunos para visualização da vida do mesmo.
 - Acolhimento e respeito ao aluno em qualquer situação.
 - Trabalho com programa PROERD.
 - Compromisso com o aluno mesmo depois dos muros da escola.",3,PUD002-2014.1-A
"Localização (periferia)
Alta índice de criminalidade
Famílias desestruturadas
Famílias de outros estados
Alto índice de usuários","Funcionários capacitados
Reunião com as famílias
Projetos interdisciplinares
Planos de Intervenção
Aconselhamento e encaminhamento ao CRAEI",3,PUD002-2014.1-A
"1-) proximidade com pontos de vendas de drogas.
2-) convívio muito próximo com vendedores de drogas
3-) &quot;obrigatoriedade&quot; de convívio, tolerância e até mesmo um certo nível de corporativismo em relação aos criminosos que controlam o tráfico.
4-) falta de funcionários que controlem a entrada e saída de pessoas na unidade escolar.
5-) falta de investimentos em meios eletrônicos que pudessem auxiliar no controle de pessoas dentro da unidade escolar.
6-) medo de denunciar e sofrer retaliações e até mesmo por sabermos do envolvimento de policiais com o tráfico local.","1-) corpo docente comprometido, destemido que mesmo sofrendo com o convívio forçado com criminosos, não desiste em realizar seu trabalho de estimular à cultura e à pratica de atividades lícitas em relação ao corpo discente.
2-) estrutura da escola é confortável no que diz respeito ao espaço físico, salas climatizadas, limpas, com alimentação farta, atividades socio-educativas abertas à comunidade.
3-) proximidade com a UFRJ o que nos possibilita aproximar pesquisadores da nossa realidade trazendo idéias e atividades que corroborem com nossas práticas pedagógicas.",3,PUD002-2014.1-A
"Alunos que chegam para a sala de aula manifestando ter ingerido bebida alcoólica,e com outros sintomas de drogas,demonstrando agressividades,desinteresse na aprendizagem atrapalhando as aulas.","Compreensão do professor, projetos pedagógicos,momentos de reflexão com os alunos dentro de sala, levar o aluno a ter o conhecimento dos riscos da drogas demonstrando a importância da vida sem uso de drogas.",3,PUD002-2014.1-A
".Baixo desempenho escolar;]
.Falta de cumprimento das regras escolares;
.Exclusão nas relações escolares;
.Entrosamento com colegas usuários de drogas;
.Falta de perspectivas em relação ao futuro.",".Vínculos afetivos com professores e colegas;
.Boa inserção e adaptação no ambiente escolar;
.Acompanhamento familiar;
.Bom desempenho escolar;
.Estímulo e motivação para atividades escolares.",3,PUD002-2014.1-A
".Baixo desempenho escolar;]
.Falta de cumprimento das regras escolares;
.Exclusão nas relações escolares;
.Entrosamento com colegas usuários de drogas;
.Falta de perspectivas em relação ao futuro.","Vínculos afetivos com professores e colegas;
.Boa inserção e adaptação no ambiente escolar;
.Acompanhamento familiar;
.Bom desempenho escolar;
.Estímulo e motivação para atividades escolares.",3,PUD002-2014.1-A
".Baixo desempenho escolar;]
.Falta de cumprimento das regras escolares;
.Exclusão nas relações escolares;
.Entrosamento com colegas usuários de drogas;
.Falta de perspectivas em relação ao futuro.","Vínculos afetivos com professores e colegas;
.Boa inserção e adaptação no ambiente escolar;
.Acompanhamento familiar;
.Bom desempenho escolar;
.Estímulo e motivação para atividades escolares.",3,PUD002-2014.1-A
"1-	Realização de trabalhos em condições adversas.
2-	Relações de conflitos nos bairros
3-Presença de uso de drogas lícitas e ilícitas em ambiente escolar.
4-  Alunos pertencentes a grupos de hábitos não saudáveis.
5-Comunidade com forte apelo de consumo","1-	 Relação de respeito entre educador e educando
     2- Experiências positivas de aprendizagem
2-	Valorização do aluno pela escola
3-	A escola como ambiente seguro e protetor
4-	Presença de referência de autoridade familiar",3,PUD002-2014.1-A
A falta de acesso a internet por ser uma comunidade bem pequena.,como já disse o companheirismo e a ajuda mutua.,3,PUD002-2014.1-A
1-Um trabalho em rede com outros especialistas bem como parcerias com outras instituições,"1- Boa relação com os familiares dos alunos e comunidade(família/escola)
2-Ações colaborativas (entre docentes) da escola
3-Apoio pedagógico da (supervisão) aos docentes bem como para os discentes.
4-A (boa localização, estrutura),  bem como questões (sócio econômica favorável) da clientela",3,PUD002-2014.1-A
"Os pontos frágeis são:  está localizada na área onde há distribuição de drogas; há um grande índice de usuários no bairro; bairro de fácil acesso, facilitando o tráfico.","Por ser uma creche, fazemos reuniões de pais, conscientizando-os do perigo das drogas e dos cuidados com os filhos desde pequenos; presença de profissionais como assistente social e psicóloga.",3,PUD002-2014.1-A
"* Incoerência na exigência de cumprimento das regras na escola;

* Pouco envolvimento (relações de cooperação) entre a família e a escola;","* Relações de respeito entre educador e aluno;

*Estímulo e motivação para as atividades escolares;",3,PUD002-2014.1-A
,,3,PUD002-2014.1-A
