"","idade","sexo","escolaridade","estadocivil","ocupacao","religiao","contatoanterior","lidadiretamente","motivocurso","materialdidatico","prazoatividades","interacaopares","organizacaocurso","import.ajud.tutor","part.outrocurso","sumTime","nsessions","aprovado","meanTime"
"3080","21","Feminino","Ensino Superior Incompleto","Solteiro (a)","Professor (a)","Outras","Não","Não","Para aquisição de conhecimento na área","Adequado","Flexível","Importante","Organizado","Às vezes","Sim",15540,8,"Não",32.375
"3082","40","Feminino","Pós-graduação","Casado (a)","Professor (a)","Evangélica","Sim","Não","Para aquisição de conhecimento na área","Adequado","Pouco flexível","Importante","Organizado","Às vezes","Não",41640,3,"Não",231.333333333333
"3083","24","Masculino","Ensino Médio Completo","Solteiro (a)","Professor (a)","Evangélica","Não","Não","Por ser uma oportunidade de formação continuada","Muito adequado","Pouco flexível","Importante","Organizado","Sempre","Não",42780,7,"Não",101.857142857143
"3100","43","Feminino","Ensino Superior Completo","Casado (a)","Professor (a)","Católica","Sim","Sim","Para aquisição de conhecimento na área","Muito adequado","Flexível","Importante","Organizado","Sempre","Não",5580,4,"Não",23.25
"3101","43","Feminino","Pós-graduação","Casado (a)","Professor (a)","Católica","Sim","Sim","Por ser uma oportunidade de formação continuada","Adequado","Flexível","Importante","Organizado","Sempre","Sim",5580,4,"Não",23.25
"3106","53","Masculino","Pós-graduação","Casado (a)","Professor (a)","Evangélica","Sim","Sim","Por ser uma oportunidade de formação continuada","Adequado","Flexível","Importante","Organizado","Sempre","Não",6840,3,"Não",38
"3130","46","Feminino","Ensino Superior Completo","Casado (a)","Professor (a)","Católica","Sim","Não","Para aquisição de conhecimento na área","Muito adequado","Pouco flexível","Importante","Organizado","Às vezes","Não",19680,2,"Não",164
"3132","49","Feminino","Pós-graduação","Casado (a)","Professor (a)","Católica","Sim","Sim","Para aquisição de conhecimento na área","Muito adequado","Flexível","Importante","Organizado","Sempre","Não",29040,5,"Sim",96.8
"3137","46","Feminino","Ensino Superior Completo","Casado (a)","Outros","Evangélica","Não","Não","Por ser uma oportunidade de formação continuada","Muito adequado","Flexível","Muito importante","Muito organizado","Sempre","Sim",44040,7,"Não",104.857142857143
"3142","48","Feminino","Ensino Fundamental Incompleto","Solteiro (a)","Supervisor (a)","Católica","Não","Sim","Para aquisição de conhecimento na área","Muito adequado","Flexível","Muito importante","Muito organizado","Sempre","Sim",47040,4,"Sim",196
"3145","67","Feminino","Pós-graduação","Casado (a)","Outros","Católica","Sim","Não","Por ser uma oportunidade de formação continuada","Muito adequado","Flexível","Muito importante","Muito organizado","Sempre","Sim",51720,4,"Não",215.5
"3155","42","Feminino","Pós-graduação","União Estável","Diretor (a)","Católica","Sim","Não","Por ser uma oportunidade de formação continuada","Adequado","Flexível","Pouco importante","Organizado","Sempre","Não",25560,4,"Não",106.5
"3161","43","Feminino","Pós-graduação","Casado (a)","Outros","Evangélica","Sim","Sim","Para aquisição de conhecimento na área","Adequado","Pouco flexível","Pouco importante","Organizado","Sempre","Sim",37440,5,"Sim",124.8
"3162","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",37440,5,"Sim",124.8
"3163","38","Masculino","Pós-graduação","Outros","Professor (a)","Católica","Sim","Não","Identificação profissional com o tema","Muito adequado","Flexível","Muito importante","Muito organizado","Às vezes","Sim",58920,3,"Sim",327.333333333333
"3164","51","Feminino","Pós-graduação","Casado (a)","Professor (a)","Católica","Não","Sim","Por ser uma oportunidade de formação continuada","Adequado","Pouco flexível","Importante","-","Sempre","Não",51840,3,"Sim",288
"3166","48","Feminino","Ensino Superior Completo","Casado (a)","Professor (a)","Católica","Sim","Não","Identificação profissional com o tema","Muito adequado","Pouco flexível","Muito importante","Organizado","Sempre","Sim",52920,2,"Sim",441
"3168","40","Masculino","Pós-graduação","Divorciado (a)","Professor (a)","Católica","Não","Sim","Para aquisição de conhecimento na área","Adequado","Flexível","Importante","Organizado","Sempre","Não",41220,5,"Sim",137.4
"3184","49","Feminino","Ensino Superior Incompleto","Divorciado (a)","Outros","Católica","Sim","Sim","Identificação profissional com o tema","Muito adequado","Muito flexível","Muito importante","Muito organizado","Sempre","Sim",24300,3,"Não",135
"3196","67","Masculino","Ensino Superior Completo","Divorciado (a)","Professor (a)","Sem religião","Não","Sim","Identificação profissional com o tema","Muito adequado","Flexível","Importante","Organizado","Sempre","Sim",64380,5,"Sim",214.6
"3212","43","Feminino","Ensino Superior Completo","Casado (a)","Professor (a)","Católica","Não","Não","Por ser uma oportunidade de formação continuada","Muito adequado","Flexível","Importante","Muito organizado","Sempre","Sim",42840,6,"Sim",119
"3213","24","Feminino","Pós-graduação","Solteiro (a)","Professor (a)","Católica","Não","Não","Para aquisição de conhecimento na área","Muito adequado","Flexível","Importante","Muito organizado","Raramente","Não",52380,2,"Não",436.5
"3245","43","Masculino","Pós-graduação","Casado (a)","Professor (a)","Católica","Sim","Sim","Para aquisição de conhecimento na área","Adequado","Pouco flexível","Muito importante","Organizado","Às vezes","Não",49980,2,"Sim",416.5
"3253","46","Feminino","Ensino Superior Incompleto","Divorciado (a)","Outros","Católica","Sim","Não","Por ser uma oportunidade de formação continuada","Adequado","Pouco flexível","Muito importante","Organizado","Sempre","Não",960,3,"Não",5.33333333333333
"3267","49","Feminino","Pós-graduação","Casado (a)","Professor (a)","Católica","Sim","Sim","Identificação profissional com o tema","Muito adequado","Pouco flexível","Importante","Muito organizado","Sempre","Sim",61920,2,"Sim",516
"3287","22","Masculino","Ensino Superior Incompleto","Solteiro (a)","Professor (a)","Outras","Sim","Não","Para aquisição de conhecimento na área","Muito adequado","Pouco flexível","Muito importante","Muito organizado","Sempre","Sim",13260,6,"Não",36.8333333333333
"3304","47","Feminino","Pós-graduação","Casado (a)","Professor (a)","Espírita","Não","Não","Por ser uma oportunidade de formação continuada","Muito adequado","Flexível","Muito importante","Organizado","Sempre","Não",39420,8,"Não",82.125
"3305","49","Feminino","Pós-graduação","Casado (a)","Professor (a)","Católica","Não","Sim","Por ser uma oportunidade de formação continuada","Adequado","Flexível","Importante","Organizado","Sempre","Não",42660,7,"Não",101.571428571429
"3306","49","Feminino","Pós-graduação","Casado (a)","Professor (a)","Católica","Sim","Sim","Por ser uma oportunidade de formação continuada","Adequado","Flexível","Muito importante","Organizado","Sempre","Não",42660,7,"Não",101.571428571429
"3310","49","Feminino","Ensino Superior Completo","Casado (a)","Outros","Católica","Sim","Sim","Por ser uma oportunidade de formação continuada","Adequado","Pouco flexível","Muito importante","Organizado","Às vezes","Não",55200,5,"Sim",184
"3312","50","Feminino","Pós-graduação","Casado (a)","Professor (a)","Católica","Sim","Não","Por ser uma oportunidade de formação continuada","Muito adequado","Flexível","Muito importante","Muito organizado","Sempre","Não",44340,5,"Sim",147.8
"3316","57","Feminino","Ensino Superior Completo","Casado (a)","Supervisor (a)","Católica","Não","Não","Para aquisição de conhecimento na área","Muito adequado","Flexível","Muito importante","Organizado","Às vezes","Sim",46980,7,"Não",111.857142857143
"3318","56","Feminino","Ensino Superior Completo","Divorciado (a)","Professor (a)","Espírita","Sim","Sim","Identificação profissional com o tema","Muito adequado","Flexível","Muito importante","Muito organizado","Sempre","Não",49800,4,"Não",207.5
"3339","49","Feminino","Pós-graduação","Casado (a)","Professor (a)","Católica","Não","Não","Por ser uma oportunidade de formação continuada","Muito adequado","Flexível","Importante","Muito organizado","Sempre","Não",51960,4,"Sim",216.5
"3380","48","Feminino","Pós-graduação","Outros","Outros","Católica","Sim","Sim","Para aquisição de conhecimento na área","Muito adequado","Flexível","Pouco importante","Organizado","Raramente","Sim",9000,4,"Não",37.5
"3386","27","Feminino","Pós-graduação","Solteiro (a)","Professor (a)","Católica","Não","Sim","Para aquisição de conhecimento na área","Muito adequado","Flexível","Importante","Muito organizado","Sempre","Sim",51180,1,"Sim",853
"3391","27","Feminino","Ensino Superior Incompleto","Divorciado (a)","Professor (a)","Evangélica","Não","Não","Para aquisição de conhecimento na área","Muito adequado","Pouco flexível","Importante","Organizado","Sempre","Sim",53880,3,"Não",299.333333333333
"3403","14","Masculino","Pós-graduação","Casado (a)","Diretor (a)","Católica","Sim","Não","Para aquisição de conhecimento na área","Adequado","Flexível","Importante","Organizado","Sempre","Não",29760,6,"Sim",82.6666666666667
"3404","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",29760,6,"Sim",82.6666666666667
"3407","62","Masculino","Ensino Superior Completo","Casado (a)","Outros","Católica","Sim","Não","Para aquisição de conhecimento na área","Adequado","Flexível","Importante","Muito organizado","Sempre","Não",44700,3,"Não",248.333333333333
"3417","40","Masculino","Ensino Superior Completo","Casado (a)","Professor (a)","Católica","Sim","Sim","Identificação profissional com o tema","Adequado","Flexível","Importante","Organizado","Às vezes","Não",9120,4,"Não",38
"3450","46","Feminino","Pós-graduação","Casado (a)","Professor (a)","Católica","Sim","Sim","Por ser uma oportunidade de formação continuada","Muito adequado","Pouco flexível","Muito importante","Muito organizado","Sempre","Não",36720,6,"Sim",102
"3451","46","Feminino","Pós-graduação","Casado (a)","Professor (a)","Católica","Sim","Sim","Por ser uma oportunidade de formação continuada","Muito adequado","Pouco flexível","Muito importante","Muito organizado","Sempre","Não",36720,6,"Sim",102
"3462","47","Feminino","Ensino Superior Completo","Solteiro (a)","Professor (a)","Católica","Não","Não","Para aquisição de conhecimento na área","Adequado","Flexível","Importante","Organizado","Às vezes","Não",40560,4,"Não",169
"3481","46","Masculino","Ensino Superior Completo","Casado (a)","Professor (a)","Católica","Sim","Sim","Para aquisição de conhecimento na área","Muito adequado","Flexível","Muito importante","Muito organizado","Sempre","Não",44280,4,"Sim",184.5
"3487","40","Feminino","Pós-graduação","Casado (a)","Professor (a)","Católica","Sim","Não","Para aquisição de conhecimento na área","Muito adequado","Pouco flexível","Importante","Organizado","Sempre","Não",24240,4,"Não",101
"3488","40","Feminino","Pós-graduação","Casado (a)","Professor (a)","Católica","Não","Não","Para aquisição de conhecimento na área","Adequado","Flexível","Importante","Organizado","Sempre","Não",24240,4,"Não",101
"3493","40","Feminino","Pós-graduação","Solteiro (a)","Professor (a)","Evangélica","Sim","Não","Por ser uma oportunidade de formação continuada","Adequado","Pouco flexível","Muito importante","Muito organizado","Sempre","Não",8580,2,"Não",71.5
"3518","45","Feminino","Ensino Superior Completo","Divorciado (a)","Professor (a)","Católica","Não","Sim","Identificação profissional com o tema","Muito adequado","Flexível","Muito importante","Muito organizado","Sempre","Não",54240,3,"Sim",301.333333333333
"3521","52","Feminino","Pós-graduação","Casado (a)","Professor (a)","Católica","Sim","Sim","Identificação profissional com o tema","Muito adequado","Flexível","Importante","Muito organizado","Sempre","Não",1740,1,"Não",29
"3528","49","Feminino","Pós-graduação","Casado (a)","Orientador (a)","Católica","Sim","Sim","Identificação profissional com o tema","Muito adequado","Flexível","Muito importante","Muito organizado","Sempre","Não",50580,4,"Sim",210.75
"3533","cinquenta anos","Masculino","Pós-graduação","Casado (a)","Professor (a)","Católica","Não","Sim","Por ser uma oportunidade de formação continuada","Adequado","Flexível","Importante","Muito organizado","Sempre","Sim",9600,2,"Não",80
"3534","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",11100,5,"Não",37
"3535","45","Masculino","Pós-graduação","Casado (a)","Supervisor (a)","Católica","Não","Sim","Por ser uma oportunidade de formação continuada","Muito adequado","Muito flexível","Pouco importante","Muito organizado","Sempre","Não",11100,5,"Não",37
"3537","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",18240,2,"Não",152
"3539","45","Feminino","Ensino Superior Incompleto","Casado (a)","Professor (a)","Espírita","Sim","Sim","Identificação pessoal com o tema","-","Flexível","Importante","Muito organizado","Às vezes","Sim",29220,5,"Não",97.4
"3540","42","Feminino","Ensino Superior Completo","Casado (a)","Professor (a)","Católica","Não","Não","Para aquisição de conhecimento na área","Adequado","Flexível","Importante","Organizado","Às vezes","Não",32880,10,"Não",54.8
"3542","41","Masculino","Pós-graduação","Divorciado (a)","Professor (a)","Evangélica","Sim","Sim","Por ser uma oportunidade de formação continuada","Adequado","Flexível","Muito importante","Organizado","Às vezes","Sim",27600,7,"Não",65.7142857142857
"3543","49","Masculino","Ensino Superior Completo","Casado (a)","Professor (a)","Católica","Sim","Sim","Para aquisição de conhecimento na área","Adequado","Flexível","Importante","Muito organizado","Sempre","Sim",42480,8,"Não",88.5
"3545","45","Masculino","Pós-graduação","Casado (a)","Professor (a)","Católica","Sim","Sim","Para aquisição de conhecimento na área","Adequado","Flexível","Importante","Organizado","Sempre","Sim",46260,6,"Sim",128.5
"3549","36","Feminino","Pós-graduação","Casado (a)","Professor (a)","Evangélica","Não","Não","Para aquisição de conhecimento na área","Muito adequado","Pouco flexível","Pouco importante","Organizado","Sempre","Sim",51360,7,"Não",122.285714285714
"3552","39","Feminino","Pós-graduação","Casado (a)","Supervisor (a)","Católica","Sim","Sim","Para aquisição de conhecimento na área","Muito adequado","Pouco flexível","Muito importante","Muito organizado","Sempre","Não",32280,11,"Não",48.9090909090909
"3553","40","Feminino","Pós-graduação","Casado (a)","Supervisor (a)","Católica","Sim","Sim","Para aquisição de conhecimento na área","Muito adequado","Pouco flexível","Muito importante","Muito organizado","Sempre","Não",32280,11,"Não",48.9090909090909
"3555","43","Feminino","Pós-graduação","Solteiro (a)","Professor (a)","Espírita","Sim","Sim","Por ser uma oportunidade de formação continuada","Muito adequado","Flexível","Muito importante","Muito organizado","Sempre","Sim",58500,3,"Sim",325
"3556","43","Feminino","Pós-graduação","Solteiro (a)","Professor (a)","Espírita","Sim","Sim","Por ser uma oportunidade de formação continuada","Muito adequado","Flexível","Muito importante","Muito organizado","Sempre","Sim",58500,3,"Sim",325
"3566","23 anos.","Masculino","Ensino Superior Incompleto","Solteiro (a)","Professor (a)","Católica","Sim","Sim","Para aquisição de conhecimento na área","Muito adequado","Pouco flexível","Muito importante","Organizado","Sempre","Não",56700,2,"Sim",472.5
"3582","42","Masculino","Pós-graduação","Casado (a)","Professor (a)","Católica","Sim","Não","Por ser uma oportunidade de formação continuada","Muito adequado","Flexível","Muito importante","Muito organizado","Sempre","Sim",45960,8,"Sim",95.75
"3583","47","Feminino","Pós-graduação","Casado (a)","Professor (a)","Católica","Sim","Não","Por ser uma oportunidade de formação continuada","Muito adequado","Flexível","Muito importante","Organizado","Às vezes","Não",47820,2,"Sim",398.5
"3586","36","Feminino","Ensino Superior Completo","Casado (a)","Professor (a)","-","Não","Não","Para aquisição de conhecimento na área","Adequado","Flexível","Pouquíssimo importante","Organizado","Às vezes","Não",48720,4,"Sim",203
"3594","39","Feminino","Pós-graduação","Divorciado (a)","Professor (a)","Evangélica","Não","Sim","Para aquisição de conhecimento na área","Adequado","Muito flexível","Muito importante","Organizado","Sempre","Sim",30540,4,"Sim",127.25
"3602","1971","Feminino","Pós-graduação","Casado (a)","Professor (a)","Evangélica","Sim","Sim","Pelo fato de o curso estar vinculado à Universidade","Muito adequado","Muito flexível","Pouco importante","Muito organizado","Sempre","Sim",37680,4,"Sim",157
"3607","43","Feminino","Ensino Superior Completo","Casado (a)","Professor (a)","Católica","Não","Não","Para aquisição de conhecimento na área","Adequado","Flexível","Importante","Organizado","Sempre","Não",16860,6,"Não",46.8333333333333
"3610","54","Feminino","Pós-graduação","Casado (a)","Professor (a)","Espírita","Não","Sim","Para aquisição de conhecimento na área","Adequado","Flexível","Muito importante","Muito organizado","Sempre","Não",10800,5,"Não",36
"3623","46","Feminino","Ensino Superior Completo","Divorciado (a)","Coordenador (a) Pedagógico","Católica","Não","Não","Por ser uma oportunidade de formação continuada","Muito adequado","Flexível","Muito importante","Muito organizado","Sempre","Sim",48120,5,"Não",160.4
"3624","52","Feminino","Pós-graduação","Divorciado (a)","Professor (a)","Católica","Não","Sim","Por ser uma oportunidade de formação continuada","Adequado","Flexível","Importante","Organizado","Sempre","Sim",30840,4,"Não",128.5
"3626","47","Feminino","Pós-graduação","Casado (a)","Professor (a)","Evangélica","Sim","Sim","Por ser uma oportunidade de formação continuada","Muito adequado","Pouco flexível","Muito importante","Muito organizado","Sempre","Não",20160,3,"Sim",112
"3631","43","Masculino","Pós-graduação","Divorciado (a)","Professor (a)","Católica","Sim","Não","Identificação profissional com o tema","Muito adequado","Muito flexível","Muito importante","Muito organizado","Sempre","Sim",3480,5,"Não",11.6
"3633","47","Masculino","Pós-graduação","Casado (a)","Professor (a)","Católica","Sim","Não","Por ser uma oportunidade de formação continuada","Muito adequado","Muito flexível","Muito importante","Muito organizado","Sempre","Sim",30780,5,"Sim",102.6
"3634","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",42180,6,"Sim",117.166666666667
"3635","44","Masculino","Pós-graduação","Solteiro (a)","Professor (a)","Católica","Não","Sim","Para aquisição de conhecimento na área","Adequado","Flexível","Muito importante","Organizado","Sempre","Não",42180,6,"Sim",117.166666666667
"3638","45","Masculino","Pós-graduação","Solteiro (a)","Professor (a)","Espírita","Sim","Sim","Para aquisição de conhecimento na área","Muito adequado","Flexível","Importante","Organizado","Sempre","Sim",44640,3,"Sim",248
"3642","49","Feminino","Ensino Superior Completo","Casado (a)","Professor (a)","Católica","Sim","Sim","Por ser uma oportunidade de formação continuada","Muito adequado","Flexível","Importante","Organizado","Sempre","Sim",38640,3,"Sim",214.666666666667
"3650","49","Feminino","Pós-graduação","Casado (a)","Supervisor (a)","Católica","Não","Não","Por ser uma oportunidade de formação continuada","Muito adequado","Muito flexível","Muito importante","Muito organizado","Sempre","Não",50040,4,"Sim",208.5
"3655","41","Feminino","Pós-graduação","Casado (a)","Outros","Católica","Não","Não","Para aquisição de conhecimento na área","Adequado","Flexível","Importante","Organizado","Sempre","Não",30240,3,"Sim",168
"3657","55","Masculino","Pós-graduação","Casado (a)","Professor (a)","Católica","Não","Não","Para aquisição de conhecimento na área","Adequado","Pouquíssimo flexível","Muito importante","Organizado","Sempre","Sim",42480,5,"Sim",141.6
"3660","56","Masculino","Ensino Superior Completo","Solteiro (a)","Professor (a)","Católica","Não","Não","Por ser uma oportunidade de formação continuada","Muito adequado","Pouco flexível","Muito importante","Muito organizado","Sempre","Sim",31080,4,"Não",129.5
"3661","56","Masculino","Ensino Superior Completo","Solteiro (a)","Professor (a)","Católica","Sim","Não","Por ser uma oportunidade de formação continuada","Adequado","Pouco flexível","Muito importante","Muito organizado","Sempre","Sim",31080,4,"Não",129.5
"3663","41","Masculino","Pós-graduação","União Estável","Professor (a)","Católica","Sim","Sim","Para aquisição de conhecimento na área","Adequado","Flexível","Muito importante","Organizado","Às vezes","Não",21540,7,"Não",51.2857142857143
"3664","48","Masculino","Pós-graduação","Casado (a)","Professor (a)","Espírita","Sim","Sim","Por ser uma oportunidade de formação continuada","Muito adequado","Flexível","Muito importante","Desorganizado","Sempre","Não",53640,4,"Não",223.5
"3668","37","Masculino","Pós-graduação","Casado (a)","Outros","Católica","Sim","Não","Por ser uma oportunidade de formação continuada","Muito adequado","Muito flexível","Importante","Muito organizado","Sempre","Não",34800,7,"Sim",82.8571428571429
"3682","46","Feminino","Pós-graduação","Casado (a)","Professor (a)","Católica","Sim","Sim","Por ser uma oportunidade de formação continuada","Muito adequado","Flexível","Muito importante","Muito organizado","Sempre","Sim",71580,3,"Não",397.666666666667
"3694","44","Masculino","Ensino Superior Completo","Solteiro (a)","Professor (a)","Sem religião","Sim","Sim","Por ser uma oportunidade de formação continuada","Muito adequado","Flexível","Pouco importante","Organizado","Sempre","Não",33600,7,"Sim",80
"3701","40","Feminino","Pós-graduação","Casado (a)","Professor (a)","Católica","Sim","Sim","Por ser uma oportunidade de formação continuada","Adequado","Flexível","Muito importante","Desorganizado","Sempre","Não",57600,4,"Não",240
"3710","40","Feminino","Pós-graduação","União Estável","Diretor (a)","Evangélica","Não","Não","Para aquisição de conhecimento na área","Adequado","Flexível","Importante","Organizado","Sempre","Não",13140,7,"Não",31.2857142857143
"3713","quarenta e nove anos","Feminino","Pós-graduação","Casado (a)","Diretor (a)","Evangélica","Sim","Sim","Para aquisição de conhecimento na área","Muito adequado","Muito flexível","Muito importante","Muito organizado","Sempre","Sim",32580,8,"Não",67.875
"3715","47","Masculino","Pós-graduação","Casado (a)","Professor (a)","Católica","Sim","Sim","Por ser uma oportunidade de formação continuada","Muito adequado","Muito flexível","Muito importante","Muito organizado","Sempre","Não",45600,5,"Não",152
"3716","41","Feminino","Ensino Superior Incompleto","Casado (a)","Estudante","Católica","Sim","Não","Para aquisição de conhecimento na área","Muito adequado","Flexível","Importante","Muito organizado","Sempre","Sim",29100,5,"Não",97
"3717","47","Feminino","Ensino Superior Incompleto","União Estável","Professor (a)","Sem religião","Não","Não","Para aquisição de conhecimento na área","Adequado","Flexível","Muito importante","Muito organizado","Sempre","Sim",28560,3,"Não",158.666666666667
"3753","46","Feminino","Ensino Superior Completo","Divorciado (a)","Professor (a)","Evangélica","Não","Sim","Para aquisição de conhecimento na área","Muito adequado","Flexível","Muito importante","Organizado","Sempre","Não",56760,3,"Não",315.333333333333
"3769","37","Feminino","Pós-graduação","União Estável","Professor (a)","Evangélica","Sim","Sim","Para aquisição de conhecimento na área","Muito adequado","Muito flexível","Muito importante","Organizado","Sempre","Sim",40620,5,"Sim",135.4
"3775","43","Feminino","Pós-graduação","Outros","Professor (a)","Católica","Sim","Sim","Por ser uma oportunidade de formação continuada","Muito adequado","Flexível","Muito importante","Muito organizado","Sempre","Sim",46740,4,"Sim",194.75
"3777","40","Feminino","Pós-graduação","Casado (a)","Orientador (a)","Católica","Sim","Sim","Para aquisição de conhecimento na área","Muito adequado","Pouco flexível","Importante","Organizado","Sempre","Sim",55320,2,"Sim",461
"3778","40","Feminino","Pós-graduação","Casado (a)","Orientador (a)","Católica","Sim","Sim","Para aquisição de conhecimento na área","Muito adequado","Pouco flexível","Importante","Organizado","Sempre","Sim",55320,2,"Sim",461
"3779","40","Feminino","Pós-graduação","Casado (a)","Professor (a)","Católica","Sim","Sim","Para aquisição de conhecimento na área","Muito adequado","Pouco flexível","Importante","Organizado","Sempre","Sim",55320,2,"Sim",461
"3780","40","Feminino","Pós-graduação","Casado (a)","Professor (a)","Católica","Sim","Sim","Para aquisição de conhecimento na área","Muito adequado","Pouco flexível","Importante","Organizado","Sempre","Sim",55320,2,"Sim",461
"3788","55","Feminino","Pós-graduação","Casado (a)","Supervisor (a)","Católica","Sim","Sim","Identificação profissional com o tema","Muito adequado","Muito flexível","Muito importante","Muito organizado","Sempre","Não",42300,7,"Sim",100.714285714286
"3804","39","Feminino","Ensino Superior Completo","Casado (a)","Supervisor (a)","Católica","Sim","Sim","Por ser uma oportunidade de formação continuada","Muito adequado","Muito flexível","Muito importante","Muito organizado","Sempre","Sim",1740,2,"Não",14.5
"3810","43","Feminino","Ensino Superior Completo","Casado (a)","Professor (a)","Católica","Sim","Não","Para aquisição de conhecimento na área","Muito adequado","Pouco flexível","Importante","Muito organizado","Sempre","Sim",40920,2,"Sim",341
"3811","43","Feminino","Ensino Superior Completo","Casado (a)","Professor (a)","Católica","Sim","Não","Para aquisição de conhecimento na área","Muito adequado","Pouco flexível","Importante","Muito organizado","Sempre","Sim",40920,2,"Sim",341
"3814","42","Feminino","Pós-graduação","União Estável","Diretor (a)","Sem religião","Sim","Sim","Identificação profissional com o tema","Muito adequado","Flexível","Importante","Muito organizado","Sempre","Não",6720,2,"Não",56
"3816","40","Feminino","Pós-graduação","Casado (a)","Professor (a)","Católica","Sim","Não","Para aquisição de conhecimento na área","Muito adequado","Pouco flexível","Muito importante","Muito organizado","Sempre","Sim",46080,4,"Sim",192
"3817","42","Feminino","Pós-graduação","Casado (a)","Orientador (a)","Católica","Sim","Não","Para aquisição de conhecimento na área","Adequado","Flexível","Importante","Desorganizado","Às vezes","Não",56400,4,"Sim",235
"3818","46","Feminino","Ensino Superior Incompleto","Casado (a)","Professor (a)","Espírita","Sim","Não","Para aquisição de conhecimento na área","Muito adequado","Flexível","Importante","Organizado","Sempre","Sim",38880,3,"Sim",216
"3851","40 anos","Feminino","Pós-graduação","Casado (a)","Professor (a)","Católica","Sim","Não","Para aquisição de conhecimento na área","Muito adequado","Flexível","Importante","Organizado","Sempre","Não",22740,2,"Sim",189.5
"3857","28","Feminino","Ensino Superior Completo","Casado (a)","Professor (a)","Católica","Não","Sim","Para aquisição de conhecimento na área","Muito adequado","Flexível","Muito importante","Organizado","Sempre","Sim",43020,4,"Sim",179.25
"3861","27","Feminino","Pós-graduação","Solteiro (a)","Professor (a)","Católica","Sim","Sim","Para aquisição de conhecimento na área","Adequado","Flexível","Importante","Organizado","Sempre","Sim",13740,6,"Não",38.1666666666667
"3879","49","Feminino","Ensino Superior Completo","Casado (a)","Professor (a)","Católica","Sim","Sim","Para aquisição de conhecimento na área","Adequado","Pouco flexível","Importante","Muito desorganizado","Às vezes","Sim",62520,2,"Não",521
"3905","44","Feminino","Ensino Superior Completo","Casado (a)","Professor (a)","Católica","Sim","Não","Por ser uma oportunidade de formação continuada","Adequado","Flexível","Muito importante","Organizado","Sempre","Não",56700,1,"Sim",945
"3920","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",36420,4,"Não",151.75
"3921","43","Feminino","Pós-graduação","Casado (a)","Professor (a)","Espírita","Sim","Não","Para aquisição de conhecimento na área","Adequado","Flexível","Importante","Organizado","Sempre","Não",36420,4,"Não",151.75
"3922","52","Feminino","Ensino Superior Completo","Casado (a)","Professor (a)","Católica","Sim","Sim","Para aquisição de conhecimento na área","Muito adequado","Muito flexível","Muito importante","Muito organizado","Às vezes","Sim",63120,5,"Sim",210.4
"3925","54","Feminino","Pós-graduação","Casado (a)","Professor (a)","Candomblé","Não","Sim","Por ser uma oportunidade de formação continuada","Muito adequado","Flexível","Importante","Organizado","Sempre","Não",61320,4,"Sim",255.5
"3931","44","Feminino","Pós-graduação","Casado (a)","Orientador (a)","Católica","Sim","Sim","Para aquisição de conhecimento na área","Adequado","Flexível","Importante","Organizado","Sempre","Sim",5340,1,"Não",89
"3936","54","Feminino","Ensino Superior Completo","Solteiro (a)","Professor (a)","Evangélica","Sim","Não","Para aquisição de conhecimento na área","Adequado","Flexível","Importante","Organizado","Às vezes","Não",5700,3,"Não",31.6666666666667
"3937","54","Feminino","Ensino Superior Completo","Solteiro (a)","Professor (a)","Evangélica","Não","Sim","Para aquisição de conhecimento na área","Adequado","Flexível","Importante","Organizado","Às vezes","Não",5700,3,"Não",31.6666666666667
"3938","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",17520,5,"Não",58.4
"3953","45","Feminino","Pós-graduação","Divorciado (a)","Professor (a)","Católica","Sim","Sim","Identificação profissional com o tema","Adequado","Flexível","Importante","Organizado","Sempre","Não",16200,9,"Não",30
"3968","47","Feminino","Pós-graduação","Casado (a)","Professor (a)","Evangélica","Sim","Sim","Identificação profissional com o tema","Muito adequado","Flexível","Importante","Organizado","Sempre","Não",51420,5,"Sim",171.4
"3974","49","Feminino","Pós-graduação","Casado (a)","Orientador (a)","Budismo","Sim","Não","Para aquisição de conhecimento na área","Adequado","Flexível","Importante","Organizado","Às vezes","Sim",65100,4,"Sim",271.25
"3975","45","Feminino","Pós-graduação","Casado (a)","Professor (a)","Católica","Sim","Sim","Para aquisição de conhecimento na área","Muito adequado","Flexível","Importante","Muito organizado","Sempre","Não",53040,2,"Sim",442
"3976","45 anos","Feminino","Pós-graduação","Casado (a)","Professor (a)","Católica","Sim","Sim","Para aquisição de conhecimento na área","Muito adequado","Muito flexível","Muito importante","Muito organizado","Sempre","Não",53040,2,"Sim",442
"3983","47","Feminino","Pós-graduação","Casado (a)","Professor (a)","Católica","Sim","Sim","Para aquisição de conhecimento na área","Adequado","Flexível","Muito importante","Organizado","Sempre","Sim",48600,5,"Sim",162
